AIT,An Integrated Teaching Building,Integrated,CC
AMEW,Art Museum East Wing,Museum,MC
BMS,Basic Medical Sciences Building,Med Sci,MC
CCCC,Chung Chi College Chapel,Chapel,CC
CCT,Chung Chi College Theology Building,Theology,CC
CKB,Chen Kou Bun Building,Chen Kou Bun,CC
CK_TSE,C.K. Tse Room (C.C. Library),C.K. Tse,CC
CML,Chien Mu Library,Chien Mu,NA
CWC,CW Chu College,CW Chu,
CYT,Cheng Yu Tung Building,Cheng Yu Tung,CC
ELB,Esther Lee Building,Esther Lee,CC
ERB,William M.W. Mong Engineering Building,William,MC
FYB,Wong Foo Yuan Building,Wong Foo Yuan,CC
FYT,Fok Ying Tung Remote Sensing Science Building,Remote Sensing,UC/NA
HCF,Sir Philip Haddon-Cave Sports Field,Sir Philip,MC
HTB,Ho Tim Building,Ho Tim,CC
HTC,Haddon-Cave Tennis Court # 6` 7,Tennis Court # 6` 7,MC
HYS,Hui Yeung Shing Building,Hui Yeung Shing,CC
ICS,Institute of Chinese Studies,Chinese Studies,MC
KKB,Leung Kau Kui Building,Leung Kau Kui,MC
KSB,Kwok Sports Building,Kwok Sports,MC
LDS,Li Dak Sum Building,Li Dak Sum,MC
LHC,Y.C. Liang Hall,Y.C. Liang,MC
LKC,Li Koon Chun Hall,Li Koon Chun,CC
LN,Lingnan Stadium` Chung Chi College,Lingnan Stadium,CC
LPN_LT,Lai Chan Pui Ngong Lecture Theatre,Lai Chan Pui Ngong,MC
LSB,Lady Shaw Building,Lady Shaw,MC
LSK,Lee Shau Kee Building,Lee Shau Kee,MC
MCO,Morningside College Seminar Room,Morningside,MC
MMW,Mong Man Wai Building,Mong Man Wai,MC/NA
NAA,Cheng Ming Building` New Asia College,Cheng Ming,NA
NAG,New Asia College Gymnasium,New Asia College Gymnasium,NA
NAH,Humanities Building` New Asia College,Humanities,NA
NATT,New Asia College Table Tennis Room,New Asia College Table Tennis,NA
PWH,Prince of Wales Hospital,Prince of Wales,OC
RRS,Sir Run Run Shaw Hall,Sir Run Run,MC
SB,Sino Building,Sino,CC
SC,Science Centre,Science Centre,MC
SCE,Science Centre East Block,East Block,MC
SCSH,Multi-purpose Sports Hall` Shaw College,Multi-purpose Sports Hall,SC
SCTT,Table Tennis Room` Shaw College,Table Tennis Room` SC,SC
SHB,Ho Sin-Hang Engineering Building,Ho Sin-Hang,MC
SP,Swimming Pool,Swimming Pool,MC
SWC,Lecture Theatre` Shaw College,Lecture Theatre` Shaw College,SC
SWH,Swire Hall` Fung King Hey Building,Fung King Hey,MC
TC,Tennis Court #3` 4` 5,Tennis Court #3` 4` 5,MC
TYW,T.Y. Wong Hall,T.Y.Wong,MC
UCA,Tsang Shiu Tim Building` United College,Tsang Shiu Tim,UC
UCC,T.C. Cheng Building` United College,T.C. Cheng,UC
UCG,The Thomas H.C. Cheung Gymnasium,Cheung Gym,UC
UC_TT,Table Tennis Room` United College,Table Tennis Room` UC,UC
UG,University Gymnasium,University Gymnasium,MC
USC_TT,University Sports Centre` Table Tennis Room,Table Tennis Rm` U Sport Centr,MC
WLS,Wen Lan Tang` Shaw College,Wen Lan Tang,SC
WMY,Wu Ho Man Yuen Building,Wu Ho Man Yuen,CC
WS1,Lee W.S. College South Block,South Block,
YIA,Yasumoto International Academic Park,Yasumoto,CC